complaint_id,train_id,zone,category,filed_date,resolved_date,sla_target_days,resolved_in_days,met_sla
C00070,T0011,SER,Coach Maintenance,2024-04-23,2024-04-25,7,2,1
C00071,T0127,ER,Cleanliness,2025-07-18,2025-07-28,7,10,0
C00072,T0008,CR,Coach Maintenance,2025-04-08,2025-04-11,10,3,1
C00073,T0078,WR,Water Availability,2025-08-13,2025-08-24,10,11,0
C00074,T0058,ER,Catering,2024-04-03,2024-04-08,3,5,0
C00075,T0010,CR,Staff Behavior,2024-02-06,2024-02-20,10,14,0
C00076,T0141,CR,Punctuality,2025-11-28,2025-12-04,10,6,1
C00077,T0104,NER,Security,2024-12-11,2024-12-17,3,6,0
C00078,T0127,ER,Catering,2024-07-10,2024-07-15,5,5,1
C00079,T0016,ER,Staff Behavior,2025-08-08,2025-08-09,7,1,1
C00080,T0091,CR,Cleanliness,2025-03-31,2025-04-05,3,5,0
C00081,T0085,NR,Staff Behavior,2024-10-11,2024-10-21,7,10,0
C00082,T0013,SER,Staff Behavior,2024-08-26,2024-09-02,3,7,0
C00083,T0054,CR,Security,2025-01-30,2025-02-05,5,6,0
C00084,T0038,ER,Coach Maintenance,2024-06-29,2024-06-30,5,1,1
C00085,T0062,WR,Coach Maintenance,2025-07-24,2025-07-28,5,4,1
C00086,T0093,WR,Security,2025-12-18,2025-12-28,5,10,0
C00087,T0136,NR,Punctuality,2024-09-22,2024-10-03,7,11,0
C00088,T0054,CR,Cleanliness,2024-11-05,2024-11-10,3,5,0
C00089,T0025,WR,Staff Behavior,2025-09-13,2025-09-21,7,8,0
C00090,T0068,SR,Security,2024-08-30,2024-09-04,5,5,1
C00091,T0022,ER,Catering,2025-09-15,2025-09-23,10,8,1
C00092,T0134,NER,Staff Behavior,2024-09-30,2024-10-07,3,7,0
C00093,T0110,SER,Security,2025-05-24,2025-06-02,7,9,0
C00094,T0069,CR,Water Availability,2024-08-04,2024-08-07,3,3,1
C00095,T0068,SR,Security,2024-10-16,2024-10-20,5,4,1
C00096,T0079,SCR,Staff Behavior,2025-10-16,2025-10-19,3,3,1
C00097,T0125,WR,Coach Maintenance,2024-03-03,2024-03-08,5,5,1
C00098,T0024,NR,Catering,2024-03-24,2024-03-31,7,7,1
C00099,T0128,NER,Water Availability,2024-08-11,2024-08-16,10,5,1
C00100,T0139,WR,Cleanliness,2025-10-03,2025-10-06,7,3,1
C00101,T0059,SER,Water Availability,2024-12-20,2025-01-02,10,13,0
C00102,T0122,WR,Security,2025-04-03,2025-04-12,7,9,0
C00103,T0021,CR,Cleanliness,2025-03-30,2025-04-06,7,7,1
C00104,T0116,NR,Catering,2025-03-05,2025-03-12,10,7,1
C00105,T0090,SCR,Security,2024-04-03,2024-04-10,10,7,1
C00106,T0132,SCR,Staff Behavior,2024-04-12,2024-04-22,7,10,0
C00107,T0135,SR,Security,2025-10-09,2025-10-19,5,10,0
C00108,T0091,CR,Punctuality,2024-04-25,2024-05-03,5,8,0
C00109,T0037,SR,Catering,2025-11-06,2025-11-11,3,5,0
C00110,T0002,SR,Catering,2025-03-23,2025-04-05,10,13,0
C00111,T0070,CR,Staff Behavior,2025-06-07,2025-06-13,10,6,1
C00112,T0027,SCR,Water Availability,2025-10-26,2025-11-03,3,8,0
C00113,T0033,SR,Staff Behavior,2024-12-18,2024-12-22,7,4,1
C00114,T0148,ER,Coach Maintenance,2024-10-30,2024-11-07,5,8,0
C00115,T0114,ER,Cleanliness,2025-07-24,2025-07-26,5,2,1
C00116,T0023,SER,Catering,2024-02-04,2024-02-08,3,4,0
C00117,T0112,ER,Cleanliness,2024-04-03,2024-04-09,7,6,1
C00118,T0106,WR,Cleanliness,2024-06-22,2024-07-01,5,9,0
C00119,T0042,NR,Coach Maintenance,2024-04-22,2024-04-28,7,6,1
C00120,T0062,WR,Cleanliness,2025-12-03,2025-12-11,3,8,0
C00121,T0103,NER,Catering,2024-11-08,2024-11-20,10,12,0
C00122,T0056,ER,Catering,2024-11-08,2024-11-11,7,3,1
C00123,T0054,CR,Staff Behavior,2025-07-14,2025-07-20,3,6,0
C00124,T0006,SR,Punctuality,2025-04-24,2025-05-07,10,13,0
C00125,T0029,WR,Staff Behavior,2024-05-14,2024-05-21,10,7,1
C00126,T0113,CR,Staff Behavior,2025-03-30,2025-04-11,10,12,0
C00127,T0001,SR,Staff Behavior,2024-04-27,2024-05-01,5,4,1
C00128,T0146,WR,Catering,2024-05-05,2024-05-07,3,2,1
C00129,T0081,NER,Catering,2024-05-24,2024-05-30,10,6,1
C00130,T0006,SR,Water Availability,2024-09-12,2024-09-20,5,8,0
C00131,T0063,SCR,Catering,2025-07-12,2025-07-16,3,4,0
C00132,T0102,SCR,Punctuality,2025-08-12,2025-08-19,7,7,1
C00133,T0127,ER,Punctuality,2025-01-07,2025-01-21,10,14,0
C00134,T0032,NER,Coach Maintenance,2024-11-09,2024-11-18,7,9,0
C00135,T0042,NR,Cleanliness,2024-12-04,2024-12-08,3,4,0
C00136,T0065,SER,Punctuality,2025-04-05,2025-04-06,10,1,1
C00137,T0029,WR,Coach Maintenance,2024-07-23,2024-07-28,5,5,1
C00138,T0137,NER,Water Availability,2024-04-29,2024-05-09,7,10,0
C00139,T0022,ER,Staff Behavior,2025-05-21,2025-06-05,10,15,0
C00140,T0041,CR,Coach Maintenance,2024-10-31,2024-11-12,10,12,0
C00141,T0040,CR,Security,2025-08-31,2025-09-11,10,11,0
C00142,T0043,SR,Staff Behavior,2024-08-19,2024-08-27,7,8,0
C00143,T0097,WR,Punctuality,2025-05-13,2025-05-19,5,6,0
C00144,T0150,NER,Cleanliness,2024-03-19,2024-04-01,10,13,0
C00145,T0024,NR,Security,2024-07-02,2024-07-04,10,2,1
C00146,T0090,SCR,Water Availability,2025-12-29,2025-12-30,5,1,1
C00147,T0111,WR,Punctuality,2024-10-03,2024-10-04,7,1,1
C00148,T0031,WR,Catering,2025-09-11,2025-09-14,7,3,1
C00149,T0032,NER,Catering,2025-04-20,2025-04-25,7,5,1
C00150,T0038,ER,Catering,2024-02-26,2024-03-02,5,5,1
C00151,T0045,SER,Punctuality,2025-06-24,2025-06-29,5,5,1
C00152,T0018,NR,Cleanliness,2025-10-18,2025-10-24,5,6,0
C00153,T0023,SER,Coach Maintenance,2024-08-07,2024-08-15,7,8,0
C00154,T0016,ER,Catering,2025-11-14,2025-11-15,10,1,1
C00155,T0073,SER,Staff Behavior,2024-10-20,2024-10-24,3,4,0
C00156,T0067,WR,Catering,2024-04-21,2024-04-24,3,3,1
C00157,T0011,SER,Coach Maintenance,2024-03-19,2024-03-21,5,2,1
C00158,T0047,SR,Coach Maintenance,2024-02-18,2024-02-22,10,4,1
C00159,T0007,NER,Staff Behavior,2025-09-03,2025-09-04,5,1,1
C00160,T0081,NER,Coach Maintenance,2024-03-07,2024-03-17,5,10,0
C00161,T0017,SCR,Coach Maintenance,2024-11-21,2024-11-27,10,6,1
C00162,T0065,SER,Cleanliness,2024-07-25,2024-08-05,10,11,0
C00163,T0049,SER,Punctuality,2024-10-29,2024-10-30,7,1,1
C00164,T0116,NR,Catering,2024-07-30,2024-08-03,5,4,1
C00165,T0039,ER,Water Availability,2024-08-19,2024-09-02,10,14,0
C00166,T0020,NR,Coach Maintenance,2025-10-21,2025-10-30,5,9,0
C00167,T0016,ER,Cleanliness,2024-01-14,2024-01-23,7,9,0
C00168,T0088,ER,Security,2025-10-16,2025-10-23,3,7,0
C00169,T0025,WR,Staff Behavior,2024-07-11,2024-07-23,7,12,0
C00170,T0036,CR,Cleanliness,2024-06-28,2024-06-30,5,2,1
C00171,T0150,NER,Water Availability,2025-04-27,2025-05-04,3,7,0
C00172,T0103,NER,Catering,2024-07-16,2024-07-23,3,7,0
C00173,T0127,ER,Staff Behavior,2024-08-17,2024-08-21,5,4,1
C00174,T0066,WR,Coach Maintenance,2025-07-14,2025-07-23,5,9,0
C00175,T0051,SR,Coach Maintenance,2024-08-02,2024-08-17,10,15,0
C00176,T0121,SCR,Catering,2025-11-15,2025-11-19,5,4,1
C00177,T0031,WR,Punctuality,2024-10-24,2024-10-28,5,4,1
C00178,T0116,NR,Security,2024-07-22,2024-08-02,7,11,0
C00179,T0082,SER,Staff Behavior,2024-02-21,2024-02-25,5,4,1
C00180,T0016,ER,Water Availability,2024-05-01,2024-05-07,3,6,0
C00181,T0028,SER,Punctuality,2025-11-29,2025-12-09,7,10,0
C00182,T0101,ER,Staff Behavior,2025-08-16,2025-08-28,7,12,0
C00183,T0066,WR,Punctuality,2025-04-15,2025-04-20,3,5,0
C00184,T0116,NR,Punctuality,2024-03-18,2024-03-24,7,6,1
C00185,T0122,WR,Catering,2024-08-24,2024-08-26,5,2,1
C00186,T0024,NR,Security,2025-03-26,2025-03-31,10,5,1
C00187,T0021,CR,Coach Maintenance,2024-06-22,2024-06-30,10,8,1
C00188,T0098,CR,Cleanliness,2025-04-20,2025-04-21,7,1,1
C00189,T0069,CR,Water Availability,2025-09-20,2025-09-23,5,3,1
C00190,T0038,ER,Cleanliness,2024-11-29,2024-12-07,5,8,0
C00191,T0072,NER,Coach Maintenance,2024-09-07,2024-09-12,10,5,1
C00192,T0067,WR,Water Availability,2025-04-04,2025-04-13,10,9,1
C00193,T0135,SR,Water Availability,2024-07-22,2024-07-29,7,7,1
C00194,T0077,WR,Water Availability,2025-12-12,2025-12-21,5,9,0
C00195,T0004,SCR,Coach Maintenance,2024-11-24,2024-11-28,3,4,0
C00196,T0069,CR,Water Availability,2025-11-04,2025-11-13,7,9,0
C00197,T0058,ER,Coach Maintenance,2025-06-24,2025-06-27,3,3,1
C00198,T0137,NER,Water Availability,2024-09-18,2024-09-27,10,9,1
C00199,T0076,SCR,Staff Behavior,2024-05-21,2024-05-26,7,5,1
C00200,T0088,ER,Catering,2024-12-07,2024-12-12,3,5,0
C00201,T0110,SER,Punctuality,2024-10-16,2024-10-26,5,10,0
C00202,T0019,SR,Coach Maintenance,2025-10-30,2025-11-03,10,4,1
C00203,T0005,SCR,Cleanliness,2025-04-19,2025-04-24,3,5,0
C00204,T0082,SER,Staff Behavior,2025-10-09,2025-10-15,3,6,0
C00205,T0013,SER,Catering,2025-11-01,2025-11-06,5,5,1
C00206,T0114,ER,Punctuality,2025-04-22,2025-05-06,10,14,0
C00207,T0063,SCR,Cleanliness,2024-11-23,2024-11-25,3,2,1
C00208,T0057,WR,Staff Behavior,2024-10-04,2024-10-11,7,7,1
C00209,T0105,SER,Punctuality,2025-02-21,2025-02-24,3,3,1
C00210,T0084,NER,Punctuality,2024-05-19,2024-05-22,3,3,1
C00211,T0140,WR,Staff Behavior,2024-02-02,2024-02-06,3,4,0
C00212,T0144,CR,Catering,2024-11-11,2024-11-17,3,6,0
C00213,T0136,NR,Coach Maintenance,2025-01-12,2025-01-19,7,7,1
C00214,T0098,CR,Coach Maintenance,2024-12-16,2024-12-17,5,1,1
C00215,T0119,CR,Coach Maintenance,2025-10-11,2025-10-15,7,4,1
C00216,T0012,WR,Security,2024-02-19,2024-03-03,10,13,0
C00217,T0078,WR,Catering,2024-10-16,2024-10-25,10,9,1
C00218,T0103,NER,Cleanliness,2024-04-15,2024-04-16,3,1,1
C00219,T0059,SER,Catering,2025-06-10,2025-06-13,10,3,1
C00220,T0014,CR,Cleanliness,2024-11-15,2024-11-22,3,7,0
C00221,T0117,NR,Catering,2025-03-05,2025-03-11,7,6,1
C00222,T0038,ER,Catering,2024-11-09,2024-11-17,3,8,0
C00223,T0079,SCR,Cleanliness,2025-08-15,2025-08-17,7,2,1
C00224,T0141,CR,Security,2024-07-01,2024-07-05,5,4,1
C00225,T0115,NR,Staff Behavior,2024-11-01,2024-11-08,10,7,1
C00226,T0127,ER,Catering,2024-03-18,2024-03-31,10,13,0
C00227,T0109,SER,Catering,2025-10-29,2025-11-05,3,7,0
C00228,T0006,SR,Security,2025-06-20,2025-06-22,7,2,1
C00229,T0004,SCR,Staff Behavior,2024-08-10,2024-08-22,10,12,0
C00230,T0131,NR,Coach Maintenance,2024-07-29,2024-07-31,10,2,1
C00231,T0047,SR,Cleanliness,2025-07-26,2025-07-27,7,1,1
C00232,T0026,ER,Punctuality,2024-02-07,2024-02-13,10,6,1
C00233,T0150,NER,Catering,2024-10-29,2024-10-31,3,2,1
C00234,T0126,WR,Coach Maintenance,2025-09-13,2025-09-14,5,1,1
C00235,T0030,NR,Cleanliness,2025-06-03,2025-06-12,5,9,0
C00236,T0148,ER,Security,2024-08-29,2024-09-03,3,5,0
C00237,T0132,SCR,Cleanliness,2024-09-11,2024-09-24,10,13,0
C00238,T0147,NER,Coach Maintenance,2025-09-23,2025-09-26,3,3,1
C00239,T0033,SR,Security,2025-11-13,2025-11-24,10,11,0
C00240,T0053,SCR,Catering,2024-09-07,2024-09-11,7,4,1
C00241,T0103,NER,Staff Behavior,2024-04-29,2024-05-03,5,4,1
C00242,T0002,SR,Catering,2024-10-15,2024-10-18,3,3,1
C00243,T0144,CR,Catering,2025-06-23,2025-06-24,10,1,1
C00244,T0134,NER,Cleanliness,2024-04-21,2024-04-25,3,4,0
C00245,T0125,WR,Coach Maintenance,2025-07-18,2025-07-25,7,7,1
C00246,T0085,NR,Staff Behavior,2025-12-31,2026-01-03,7,3,1
C00247,T0075,SR,Security,2024-08-12,2024-08-22,7,10,0
C00248,T0053,SCR,Water Availability,2025-01-02,2025-01-08,5,6,0
C00249,T0103,NER,Security,2024-04-17,2024-05-02,10,15,0
C00250,T0022,ER,Staff Behavior,2025-06-24,2025-06-25,10,1,1
C00251,T0138,ER,Cleanliness,2025-10-10,2025-10-18,7,8,0
C00252,T0034,NR,Security,2024-12-04,2024-12-14,5,10,0
C00253,T0136,NR,Security,2025-05-26,2025-06-04,7,9,0
C00254,T0036,CR,Staff Behavior,2024-09-09,2024-09-12,5,3,1
C00255,T0036,CR,Staff Behavior,2024-03-31,2024-04-05,7,5,1
C00256,T0002,SR,Coach Maintenance,2025-11-11,2025-11-23,10,12,0
C00257,T0139,WR,Cleanliness,2024-01-05,2024-01-13,10,8,1
C00258,T0100,NER,Coach Maintenance,2024-07-20,2024-07-23,5,3,1
C00259,T0119,CR,Cleanliness,2024-04-03,2024-04-10,10,7,1
C00260,T0148,ER,Staff Behavior,2024-05-11,2024-05-18,10,7,1
C00261,T0079,SCR,Punctuality,2024-10-30,2024-11-06,3,7,0
C00262,T0079,SCR,Punctuality,2025-09-09,2025-09-10,7,1,1
C00263,T0055,SR,Staff Behavior,2024-05-25,2024-05-28,5,3,1
C00264,T0013,SER,Cleanliness,2024-09-23,2024-09-30,3,7,0
C00265,T0061,NER,Staff Behavior,2025-04-29,2025-05-04,3,5,0
C00266,T0148,ER,Staff Behavior,2024-07-12,2024-07-16,5,4,1
C00267,T0132,SCR,Water Availability,2025-10-30,2025-11-11,7,12,0
C00268,T0037,SR,Staff Behavior,2024-12-07,2024-12-08,7,1,1
C00269,T0148,ER,Staff Behavior,2025-02-02,2025-02-09,7,7,1
C00270,T0075,SR,Cleanliness,2024-02-08,2024-02-18,5,10,0
C00271,T0058,ER,Cleanliness,2024-07-30,2024-08-05,7,6,1
C00272,T0107,WR,Catering,2025-12-16,2025-12-20,7,4,1
C00273,T0003,WR,Security,2025-06-02,2025-06-05,3,3,1
C00274,T0018,NR,Water Availability,2025-12-10,2025-12-12,7,2,1
C00275,T0088,ER,Catering,2024-06-22,2024-06-30,5,8,0
C00276,T0004,SCR,Cleanliness,2024-02-15,2024-02-27,7,12,0
C00277,T0054,CR,Staff Behavior,2025-10-17,2025-10-19,3,2,1
C00278,T0024,NR,Coach Maintenance,2025-04-01,2025-04-02,7,1,1
C00279,T0054,CR,Catering,2024-09-02,2024-09-09,3,7,0
C00280,T0121,SCR,Water Availability,2024-05-29,2024-06-04,7,6,1
C00281,T0044,SR,Cleanliness,2024-07-26,2024-07-29,3,3,1
C00282,T0147,NER,Punctuality,2024-04-07,2024-04-16,10,9,1
C00283,T0113,CR,Punctuality,2024-08-26,2024-08-28,3,2,1
C00284,T0092,NR,Coach Maintenance,2024-10-03,2024-10-07,3,4,0
C00285,T0054,CR,Staff Behavior,2024-02-20,2024-02-24,7,4,1
C00286,T0004,SCR,Water Availability,2025-08-16,2025-08-24,5,8,0
C00287,T0087,NR,Staff Behavior,2024-02-25,2024-03-04,3,8,0
C00288,T0148,ER,Security,2025-03-23,2025-03-29,5,6,0
C00289,T0145,SER,Water Availability,2025-11-20,2025-11-26,3,6,0
C00290,T0047,SR,Catering,2025-10-06,2025-10-12,5,6,0
C00291,T0085,NR,Staff Behavior,2024-03-06,2024-03-13,5,7,0
C00292,T0020,NR,Cleanliness,2025-07-20,2025-07-21,10,1,1
C00293,T0115,NR,Punctuality,2025-05-04,2025-05-06,7,2,1
C00294,T0127,ER,Coach Maintenance,2024-07-16,2024-07-18,3,2,1
C00295,T0119,CR,Coach Maintenance,2025-11-11,2025-11-12,3,1,1
C00296,T0129,SR,Catering,2025-08-13,2025-08-14,10,1,1
C00297,T0030,NR,Coach Maintenance,2024-05-31,2024-06-06,5,6,0
C00298,T0005,SCR,Water Availability,2025-09-28,2025-10-01,3,3,1
C00299,T0044,SR,Water Availability,2025-06-04,2025-06-16,7,12,0
C00300,T0040,CR,Catering,2025-07-21,2025-07-27,3,6,0
C00301,T0136,NR,Security,2025-01-24,2025-01-27,3,3,1
C00302,T0011,SER,Punctuality,2025-01-22,2025-01-23,3,1,1
C00303,T0097,WR,Coach Maintenance,2025-09-17,2025-09-18,5,1,1
C00304,T0124,NR,Security,2025-04-23,2025-05-04,7,11,0
C00305,T0142,ER,Catering,2024-03-11,2024-03-22,7,11,0
C00306,T0136,NR,Catering,2024-07-28,2024-08-05,10,8,1
C00307,T0093,WR,Cleanliness,2025-11-27,2025-12-02,5,5,1
C00308,T0121,SCR,Cleanliness,2024-11-04,2024-11-08,7,4,1
C00309,T0138,ER,Water Availability,2025-08-13,2025-08-15,5,2,1
C00310,T0027,SCR,Security,2025-07-21,2025-07-30,7,9,0
C00311,T0098,CR,Staff Behavior,2024-12-16,2024-12-21,3,5,0
C00312,T0106,WR,Staff Behavior,2025-03-25,2025-04-03,5,9,0
C00313,T0077,WR,Catering,2025-07-14,2025-07-15,3,1,1
C00314,T0033,SR,Cleanliness,2025-01-17,2025-01-20,3,3,1
C00315,T0019,SR,Punctuality,2025-04-02,2025-04-10,3,8,0
C00316,T0012,WR,Cleanliness,2024-08-10,2024-08-16,7,6,1
C00317,T0011,SER,Water Availability,2025-12-09,2025-12-19,10,10,1
C00318,T0093,WR,Punctuality,2024-03-16,2024-03-22,5,6,0
C00319,T0129,SR,Coach Maintenance,2025-12-09,2025-12-12,5,3,1
C00320,T0090,SCR,Coach Maintenance,2024-08-08,2024-08-10,5,2,1
C00321,T0099,SCR,Staff Behavior,2024-11-01,2024-11-03,7,2,1
C00322,T0046,SCR,Punctuality,2025-10-31,2025-11-10,7,10,0
C00323,T0036,CR,Staff Behavior,2025-03-30,2025-04-06,5,7,0
C00324,T0118,SCR,Cleanliness,2025-07-13,2025-07-21,3,8,0
C00325,T0138,ER,Catering,2025-08-29,2025-08-30,5,1,1
C00326,T0013,SER,Staff Behavior,2025-02-04,2025-02-09,5,5,1
C00327,T0037,SR,Coach Maintenance,2025-01-17,2025-01-19,10,2,1
C00328,T0054,CR,Water Availability,2025-11-13,2025-11-21,10,8,1
C00329,T0031,WR,Security,2024-08-16,2024-08-20,5,4,1
C00330,T0071,WR,Coach Maintenance,2024-06-23,2024-07-03,5,10,0
C00331,T0004,SCR,Catering,2025-08-25,2025-08-26,10,1,1
C00332,T0098,CR,Coach Maintenance,2024-07-10,2024-07-20,5,10,0
C00333,T0003,WR,Coach Maintenance,2025-06-06,2025-06-15,7,9,0
C00334,T0072,NER,Security,2024-10-03,2024-10-15,7,12,0
C00335,T0058,ER,Catering,2025-05-01,2025-05-08,5,7,0
C00336,T0139,WR,Security,2025-09-10,2025-09-13,5,3,1
C00337,T0033,SR,Cleanliness,2024-08-08,2024-08-20,7,12,0
C00338,T0009,WR,Security,2024-11-20,2024-11-26,3,6,0
C00339,T0003,WR,Coach Maintenance,2024-10-22,2024-11-06,10,15,0
C00340,T0008,CR,Staff Behavior,2024-05-23,2024-05-28,10,5,1
C00341,T0136,NR,Punctuality,2025-02-28,2025-03-05,3,5,0
C00342,T0149,NER,Security,2024-02-08,2024-02-13,10,5,1
C00343,T0144,CR,Punctuality,2025-09-02,2025-09-08,7,6,1
C00344,T0095,CR,Security,2024-08-27,2024-08-30,3,3,1
C00345,T0085,NR,Security,2024-03-25,2024-04-06,10,12,0
C00346,T0110,SER,Staff Behavior,2024-04-01,2024-04-05,3,4,0
C00347,T0136,NR,Catering,2024-05-17,2024-05-19,3,2,1
C00348,T0008,CR,Security,2025-04-26,2025-05-04,5,8,0
C00349,T0032,NER,Cleanliness,2025-08-09,2025-08-15,7,6,1
C00350,T0061,NER,Staff Behavior,2024-08-11,2024-08-15,5,4,1
C00351,T0078,WR,Water Availability,2024-04-08,2024-04-14,10,6,1
C00352,T0020,NR,Staff Behavior,2024-11-20,2024-12-04,10,14,0
C00353,T0143,SCR,Punctuality,2024-10-18,2024-10-22,7,4,1
C00354,T0011,SER,Cleanliness,2025-03-13,2025-03-21,5,8,0
C00355,T0037,SR,Punctuality,2024-05-14,2024-05-17,3,3,1
C00356,T0022,ER,Coach Maintenance,2025-09-22,2025-10-04,7,12,0
C00357,T0017,SCR,Staff Behavior,2025-02-28,2025-03-01,10,1,1
C00358,T0058,ER,Punctuality,2025-01-29,2025-01-31,10,2,1
C00359,T0066,WR,Staff Behavior,2024-11-01,2024-11-13,7,12,0
C00360,T0092,NR,Coach Maintenance,2024-05-02,2024-05-04,7,2,1
C00361,T0123,SR,Security,2024-02-09,2024-02-16,5,7,0
C00362,T0059,SER,Catering,2024-03-22,2024-03-26,10,4,1
C00363,T0088,ER,Staff Behavior,2025-09-27,2025-09-29,3,2,1
C00364,T0067,WR,Cleanliness,2025-05-11,2025-05-14,7,3,1
C00365,T0032,NER,Cleanliness,2025-01-28,2025-02-09,7,12,0
C00366,T0015,NER,Cleanliness,2025-12-05,2025-12-16,7,11,0
C00367,T0008,CR,Water Availability,2025-10-31,2025-11-10,7,10,0
C00368,T0048,WR,Catering,2024-06-18,2024-06-21,5,3,1
C00369,T0026,ER,Coach Maintenance,2025-12-11,2025-12-14,3,3,1
C00370,T0096,SR,Security,2024-11-27,2024-12-01,3,4,0
C00371,T0081,NER,Catering,2025-01-12,2025-01-13,5,1,1
C00372,T0136,NR,Security,2025-10-20,2025-10-23,3,3,1
